PSNR: 66.81301045404622, SSIM: 0.9979560407833145
PSNR: 66.6547097240027, SSIM: 0.997864686188184
PSNR: 66.32894327001722, SSIM: 0.9976832605820624
PSNR: 66.34866620300438, SSIM: 0.9976954179912051
PSNR: 66.68151391183817, SSIM: 0.9978826736333369
PSNR: 66.48544295316994, SSIM: 0.9977722633295537
PSNR: 66.29650201722272, SSIM: 0.9976624386431273
PSNR: 66.49382224367203, SSIM: 0.9977758691729862
PSNR: 66.58341502583434, SSIM: 0.9978255889955813
PSNR: 66.53537622591257, SSIM: 0.9977986648765649
PSNR: 66.60469690208468, SSIM: 0.9978357994900101
PSNR: 66.64557211361887, SSIM: 0.9978593139514942
PSNR: 65.98688015398774, SSIM: 0.9974746019900774
PSNR: 66.64811846982485, SSIM: 0.9978605932716883
PSNR: 66.6957027477392, SSIM: 0.9978874825362919
PSNR: 66.8387311472271, SSIM: 0.997962797461985
PSNR: 66.6262422359081, SSIM: 0.997849523744267
PSNR: 66.66735193575535, SSIM: 0.9978725725035548
PSNR: 66.28250478802829, SSIM: 0.9976542256544203
PSNR: 66.36825582232537, SSIM: 0.9977044699292165
PSNR: 66.74503152525207, SSIM: 0.9979381095773411
PSNR: 66.69963915805727, SSIM: 0.9979080375268881
