PSNR: 66.58828268586487, SSIM: 0.9978337835911701
PSNR: 66.3673299149413, SSIM: 0.9977167136646248
PSNR: 66.3170961033455, SSIM: 0.997692051082575
PSNR: 66.2829181644778, SSIM: 0.9976817499259548
PSNR: 66.37616970836042, SSIM: 0.997730169711688
PSNR: 66.3494749114736, SSIM: 0.9977125079462894
PSNR: 66.19621767247085, SSIM: 0.9976370157446469
PSNR: 66.10593865700352, SSIM: 0.9976028682536832
PSNR: 66.19225120230698, SSIM: 0.9976469531648018
PSNR: 66.28245127448625, SSIM: 0.997703298762867
PSNR: 66.21393331404077, SSIM: 0.9976608854990493
PSNR: 66.17061407712646, SSIM: 0.9976370454842672
PSNR: 66.31629010583711, SSIM: 0.9977426945428022
PSNR: 66.16757807577903, SSIM: 0.9976549966102676
PSNR: 66.35461339501954, SSIM: 0.9977526596205776
PSNR: 66.21460393914035, SSIM: 0.9976654932205088
PSNR: 66.19039784069668, SSIM: 0.9976883103509606
PSNR: 66.31959156852044, SSIM: 0.9977219054785436
PSNR: 66.28984581871671, SSIM: 0.9977261590978393
PSNR: 65.96315414175655, SSIM: 0.9975457320038355
